Var1,Var2
ACALD,1.69609313671501e-28
ACALDt,0
ACKr,1.22327586950834e-29
ACONTa,4.06607012783792
ACONTb,4.06607012783792
ACt2r,-0
ADK1,0
AKGDH,3.86213315801755
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,17.2675290254761
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.189023051089413
CO2t,-18.8960295493645
CS,4.06607012783792
CYTBD,30.62
D-LACt2,-0
ENO,-0.78525846114075
ETOHt2r,-0
EX_ac(e),0
EX_acald(e),0
EX_akg(e),0
EX_co2(e),18.8960295493645
EX_etoh(e),0
EX_for(e),-1.4164858849079e-28
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),13.5379490627202
EX_h(e),-9.67819759514637
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-1.03070489298035
EX_o2(e),-15.31
EX_pi(e),-0.695359098042625
EX_pyr(e),0
EX_succ(e),-6.735
FBA,-0.18802122891864
FBP,0.18802122891864
FORt2,0
FORti,-1.4164858849079e-28
FRD7,0
FRUpts2,0
FUM,10.5971331580176
FUMt2_2,0
G6PDH2r,0
GAPD,-0.502479976710988
GLCpts,0
GLNS,0.048333194163563
GLNabc,0
GLUDy,-0.982371698816791
GLUN,0
GLUSy,0
GLUt2r,-0
GND,-4.97011554008806e-29
H2Ot,-13.5379490627202
ICDHyr,4.06607012783792
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,5.28717794018064
ME1,0
ME2,5.30995521783691
NADH16,20.0228668419825
NADTRHD,5.93108023957027
NH4t,1.03070489298035
O2t,15.31
PDH,4.77449071871082
PFK,0
PFL,0
PGI,-0.0387497254733297
PGK,0.502479976710988
PGL,0
PGM,0.78525846114075
PIt2r,0.695359098042625
PPC,0
PPCK,0.883380326961265
PPS,0
PTAr,-1.2211162620006e-29
PYK,0
PYRt2r,-0
RPE,-0.13586976912307
RPI,-0.13586976912307
SUCCt2_2,22.6521076403822
SUCCt3,15.9171076403822
SUCDi,10.5971331580176
SUCOAS,-3.86213315801755
TALA,-0.0338162238398961
THD2,0
TKT1,-0.0338162238398961
TKT2,-0.102053545283174
TPI,-0.18802122891864
