Var1,Var2
ACALD,0
ACALDt,0
ACKr,0
ACONTa,12.2375178671108
ACONTb,12.2375178671108
ACt2r,-0
ADK1,3.27436916058895
AKGDH,11.7689256284373
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,30.4123556332873
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.43432406958336
CO2t,-36.6271220568453
CS,12.2375178671108
CYTBD,53.88
D-LACt2,-0
ENO,-1.80431248227015
ETOHt2r,-0
EX_ac(e),0
EX_acald(e),0
EX_akg(e),0
EX_co2(e),36.6271220568453
EX_etoh(e),0
EX_for(e),0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),21.4209123093183
EX_h(e),-9.65745916415777
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-2.36828228662415
EX_o2(e),-26.94
EX_pi(e),-1.59774795477631
EX_pyr(e),-18.37
EX_succ(e),0
FBA,-0.432022152014568
FBP,0.432022152014569
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,11.7689256284373
FUMt2_2,0
G6PDH2r,-4.41681905157002e-29
GAPD,-1.15456367417345
GLCpts,0
GLNS,0.111056664592465
GLNabc,0
GLUDy,-2.25722562203168
GLUN,0
GLUSy,0
GLUt2r,-0
GND,9.77874386415391e-29
H2Ot,-21.4209123093183
ICDHyr,12.2375178671108
ICL,0
LDH_D,-2.13473791345165e-28
MALS,0
MALt2_2,0
MDH,11.7689256284373
ME1,0
ME2,0
NADH16,42.1110743715627
NADTRHD,4.32196169895405
NH4t,2.36828228662415
O2t,26.94
PDH,13.8652776150953
PFK,0
PFL,0
PGI,-0.0890364342645888
PGK,1.15456367417345
PGL,0
PGM,1.80431248227015
PIt2r,1.59774795477631
PPC,1.24459905379807
PPCK,0
PPS,3.27436916058895
PTAr,0
PYK,0
PYRt2r,18.37
RPE,-0.312192141216519
RPI,-0.312192141216519
SUCCt2_2,34.0445039303068
SUCCt3,34.0445039303068
SUCDi,11.7689256284373
SUCOAS,-11.7689256284373
TALA,-0.0777005760484632
THD2,0
TKT1,-0.0777005760484631
TKT2,-0.234491565168056
TPI,-0.432022152014568
