Var1,Var2
ACALD,-5.55616717199745e-29
ACALDt,0
ACKr,-23.7021833860225
ACONTa,0.356910967846849
ACONTb,0.356910967846849
ACt2r,-23.7021833860225
ADK1,2.49397700120252
AKGDH,0
AKGt2r,-0
ALCD2x,-5.55616717199745e-29
ATPM,8.39
ATPS4r,10.4255004775613
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.330810054543377
CO2t,-18.2570530562808
CS,0.356910967846849
CYTBD,13.47
D-LACt2,-0
ENO,-1.37428420958955
ETOHt2r,-0
EX_ac(e),23.7021833860225
EX_acald(e),0
EX_akg(e),0
EX_co2(e),18.2570530562808
EX_etoh(e),0
EX_for(e),6.45079289555351
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),-8.06319418240338
EX_h(e),8.05902597571612
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-1.80384106541412
EX_o2(e),-6.735
EX_pi(e),-1.21695094764872
EX_pyr(e),-28.73
EX_succ(e),0
FBA,-0.329056761254297
FBP,0.329056761254297
FORt2,0
FORti,6.45079289555351
FRD7,0
FRUpts2,0
FUM,-5.09934918566846e-29
FUMt2_2,0
G6PDH2r,1.57743537556072e-29
GAPD,-0.879392367992658
GLCpts,0
GLNS,0.0845881309467414
GLNabc,0
GLUDy,-1.71925293446738
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,8.06319418240338
ICDHyr,0.356910967846849
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,-5.26373732083969e-29
ME1,0
ME2,0
NADH16,13.47
NADTRHD,0
NH4t,1.80384106541412
O2t,6.735
PDH,18.8481113807335
PFK,0
PFL,6.45079289555351
PGI,-0.0678160611813922
PGK,0.879392367992658
PGL,1.57386992102788e-29
PGM,1.37428420958955
PIt2r,1.21695094764872
PPC,0.9479692922995
PPCK,0
PPS,2.49397700120252
PTAr,23.7021833860225
PYK,0
PYRt2r,28.73
RPE,-0.237786267205779
RPI,-0.237786267205779
SUCCt2_2,0
SUCCt3,0
SUCDi,0
SUCOAS,0
TALA,-0.0591819187578101
THD2,5.67210227620619
TKT1,-0.0591819187578101
TKT2,-0.178604348447969
TPI,-0.329056761254297
