Var1,Var2
ACALD,0
ACALDt,0
ACKr,-16.3347041326978
ACONTa,0.752840985046707
ACONTb,0.752840985046707
ACt2r,-16.3347041326978
ADK1,0
AKGDH,0
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,39.0842373869862
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.697785693805457
CO2t,-35.8174474393506
CS,0.752840985046707
CYTBD,52.66
D-LACt2,-0
ENO,-2.89881110777601
ETOHt2r,-0
EX_ac(e),16.3347041326978
EX_acald(e),0
EX_akg(e),0
EX_co2(e),35.8174474393506
EX_etoh(e),0
EX_for(e),9.57852520251573
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),13.9603975473071
EX_h(e),-13.969189647049
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-3.8048858311824
EX_o2(e),-26.33
EX_pi(e),-2.56694423180214
EX_pyr(e),0
EX_succ(e),-26.94
FBA,-0.694087429628288
FBP,0.694087429628288
FORt2,0
FORti,9.57852520251573
FRD7,0
FRUpts2,0
FUM,26.94
FUMt2_2,0
G6PDH2r,0
GAPD,-1.85492370984305
GLCpts,0
GLNS,0.178423801906055
GLNabc,0
GLUDy,-3.62646202927634
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,-13.9603975473071
ICDHyr,0.752840985046707
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,5.26060634559934
ME1,0
ME2,21.6793936544007
NADH16,25.72
NADTRHD,9.71509036984292
NH4t,3.8048858311824
O2t,26.33
PDH,10.1241811384728
PFK,0
PFL,9.57852520251573
PGI,-0.143046067230119
PGK,1.85492370984305
PGL,0
PGM,2.89881110777601
PIt2r,2.56694423180214
PPC,0
PPCK,3.26103166143042
PPS,0
PTAr,16.3347041326978
PYK,0
PYRt2r,-0
RPE,-0.501568356707363
RPI,-0.501568356707363
SUCCt2_2,26.94
SUCCt3,0
SUCDi,26.94
SUCOAS,0
TALA,-0.124833860621796
THD2,0
TKT1,-0.124833860621796
TKT2,-0.376734496085566
TPI,-0.694087429628288
